"1712837",Mang Viên Triệu,"CNTT",2017,21/08/1999,mangvientrieu@gmail.com,1712837.jpg,Best ĐẤNG Daxua,"Chơi game, nghe nhạc"
"1712838","Trần Văn Độ",Vật Liệu,2017,24/01/1999,"tranvando@gmail.com","1712838.jpg","Hiền, hiền hơn, hiền hơn nữa","Đọc truyện, xem phim"
"1712839","Nguyễn Thái An","CNTT","2016","30/04/1998","nguyenthaian@gmail.com",1712839.jpg,"Best teemo, auto feed","Đá bóng, chơi game"
1712840,Trần Quốc Bảo,Hóa,2017,21/03/1999,tranquocbao@gmail.com,1712840.jpg,Chỉ biết đi mid,"Chơi game, đọc truyện"
1712841,Nguyễn Quốc Cường,Vật Lý,2015,13/05/1997,nguyenquoccuong@gmail.com,"1712841.jpg","Trùm top, chỉ thua mỗi KZ Khan","Hát, hát và hát"
1712842,Lê Văn Dũng,Toán Tin,2016,30/04/1998,levandung@gmail.com,1712842.jpg,"Siêu xạ thủ, có thể đi support","Sưu tập giày, dây chuyền"
"1712843",Trần Thành Đạt,Hạt Nhân,2017,"24/01/1999",tranthanhdat@gmail.com,1712843.jpg,"Suppor biết cắm mắt, bảo kê AD","Đá bóng, chơi game"
1712844,Võ Thị Hồng Giang,Hải Dương Học,2014,17/02/1996,vothihonggiang@gmail.com,1712844.jpg,3 Triệu thông thạo Garen,"Xem anime, chơi game"
1712845,Trần Thu Hiền,"CNTT",2016,"26/04/1998","tranthuhien@gmail.com",1712845.jpg,"Đàn em Cowsep, auto đánh master yi","Đi phượt, nghe nhạc"
"1712846",Châu Gia Kiệt,CNTT,2016,18/09/1998,chaugiakiet@gmail.com,1712846.jpg,Chơi hay nhưng đi cày thuê,"Tập gym, cầu lông"
"1712847","Rô Nan Đô",CNTT,2017,24/10/1999,nonando@gmail.com,1712847.jpg,"Có tầm nhìn chiến thuật tốt, làm HLV đội","Đá bóng, nghe nhạc"
